Entidad Federativa,Count Municipios,2024 population,2020 population,2010 population
Aguascalientes,11,"1,500,412","1,425,607","1,184,996"
Baja California,7,"3,786,109","3,769,020","3,155,070"
Baja California Sur,5,"883,649","798,447","637,026"
Campeche,13,"941,096","928,363","822,441"
Coahuila de Zaragoza,38,"3,354,804","3,146,771","2,748,391"
Colima,38,"733,701","731,391","650,555"
Chiapas,124,"5,803,144","5,543,828","4,796,580"
Chihuahua,67,"3,870,533","3,741,869","3,406,465"
Ciudad de México,16,"9,338,373","9,209,944","8,605,239"
Durango,39,"1,903,497","1,832,650","1,632,934"
Guanajuato,46,"6,330,734","6,166,934","5,486,372"
Guerrero,81,"3,607,623","3,540,685","3,388,768"
Hidalgo,84,"3,240,790","3,082,841","2,665,018"
Jalisco,125,"8,726,308","8,348,151","7,350,682"
México,125,"17,727,868","16,992,418","15,175,862"
Michoacán de Ocampo,113,"4,941,831","4,748,846","4,351,037"
Morelos,36,"1,979,715","1,971,520","1,777,227"
Nayarit,20,"1,248,922","1,235,456","1,084,979"
Nuevo León,51,"6,128,074","5,784,442","4,653,458"
Oaxaca,569,"4,297,758","4,132,148","3,801,962"
Puebla,217,"6,603,151","6,583,278","5,779,829"
Querétaro,18,"2,541,803","2,368,467","1,827,937"
Quintana Roo,11,"1,912,993","1,857,985","1,777,227"
San Luis Potosí,58,"2,880,503","2,822,255","2,585,518"
Sinaloa,18,"3,100,860","3,026,943","2,767,761"
Sonora,72,"3,076,858","2,944,840","2,662,480"
Tabasco,17,"2,527,412","2,402,598","2,238,603"
Tamaulipas,43,"3,574,192","3,527,735","3,268,554"
Tlaxcala,60,"1,464,291","1,342,977","1,169,936"
Veracruz de Ignacio de la Llave,212,"8,094,410","8,062,579","7,643,194"
Yucatán,106,"2,381,597","2,320,898","1,955,577"
Zacatecas,58,"1,651,236","1,622,138","1,490,668"
