,,,,PRODUCTOS QUE COMERCIALIZA,,,,
NO. ES,UBICACION,COLONIA,CP,MAGNA,PREMIUM,DIESEL,DME,
E01099,"CARRETERA PANAMERICANA KM. 526, AGUASCALIENTES, AGUASCALIENTES",CIUDAD INDUSTRIAL,20280,S,S,S,N,
E01104,AVENIDA LA CONVENCION SUR N 600,FRACCIONAMIENTOIONAMIENTO LAS AMERICAS,20230,S,S,S,N,
E01105,HEROE DE NACOZARI  SUR NO 704,SAN LUIS,20270,S,S,N,N,
E01106,BOULEVARD A ZACATECAS NO 304,EL PLATEADO,20137,S,S,N,N,
E01107,CALLE GENERAL BARRAGAN N 457 Y 459,CENTRO,20000,S,S,N,N,
E01108,AVENIDA JOSE MARIA CHAVEZ N 1108,LINDAVISTA,20270,S,S,N,N,
E01110,CARRETERA PANAMERICANA KM 537,NINGUNA,20126,S,S,S,N,
E02468,AVENIDA CONVENCION DE 1914,JARDINES DE LA CRUZ,20250,S,S,N,N,
E02722,AVENIDA CONVENCION NORTE N 1902,BUENOS AIRES,20020,S,S,N,N,
E02827,CALLE HEROES DE NACOZARI SUR N S/N,OJO DE AGUA,20260,S,S,S,N,
E03045,CALLE 21 DE MARZO NO. 301,S/C,20427,S,N,S,N,
E03276,ROMA NO. 242,FRACCIONAMIENTOIONAMIENTO DEL VALLE,20080,S,S,N,N,
E03791,CIRCUITO AGUASCALIENTES NORTE 164,PARQUE INDUSTRIAL DEL VALLE DE AGUAS,20355,S,S,S,N,
E03797,"CARRETERA AGUASCALIENTES-OJUELOS KM. 22 ENTROQUE CARRETERA A SAN BARTOLO, AGUASCALIENTES",Sin Colonia,20347,S,S,S,N,
E03841,CARRETERA  PALO ALTO-LA SOLEDAD KM 18.5,,,S,N,S,N,
E03857,KM.16 CARRETERA AGUAS.- ZACALLE ENTR.CARRETERA A EL MAGUEY,,20100,S,S,S,N,
E04356,AVENIDA AGUASCALIENTES ORIENTE N 2604,FRACCIONAMIENTOIONAMIENTO OJO CALIENTE,20130,S,S,S,N,
E04437,AVENIDA AGUASCALIENTES NUMERO 7038 ESQ GUADALUPE GONZALEZ,PRIMO DE VERDAD,20130,S,S,S,N,
E04492,BOULERVARD JOSE MARIA CHAVEZ N 1907,PRADOS  DE VILLA ASUNCION,20299,S,S,S,N,
E04504,AVENIDA AGUASCALIENTES SUR NO 200,VISTA DEL SOL,20270,S,S,S,N,
E04527,AVENIDA DE LA CONVENCION DE 1914 PTE No. 410,CIRCUNVALACION PONIENTE,20210,S,S,N,N,
E04567,BOULEVARD AGUASCALIENTES NO 601,EL COBANO,20158,S,S,S,N,
E04585,JUAN CARLOS NO 119,PARQUE INDUSTRIAL SIGLO XXI,20240,S,S,S,N,
E04591,CARRETERA 45 SUR KM. 113.5 ENTRE AGUASCALIENTES Y ENCARNACION DE DIAZ,,20340,S,S,S,N,
E04633,AVENIDA SIGLO XXI N 6401,SOLIDARIDAD II,20070,S,S,S,N,
E04673,AVENIDA UNIVERSIDAD N 602-5,UNION GANADERA,20103,S,S,N,N,
E04725,AVENIDA CONVENCION ORIENTE N 361,SANTA ANITA,20169,S,S,N,N,
E04851,AVENIDA AGUASCALIENTES SUR N 102,VERSALLES SEGUNDA SECCION,20285,S,S,N,N,
E04856,AVENIDA DE LA CONVENCION PONIENTE N 1402,CURTIDORES,20040,S,S,N,N,
E04867,AVENIDA SIGLO XXI N 420,FRACCIONAMIENTOIONAMIENTO OJO CALIENTE,20197,S,S,N,N,
E04938,AVENIDA AGUASCALIENTES N 3402,PRADOS DEL SUR,20280,S,S,N,N,
E04940,AVENIDA DE LA CONVENCION DE 1914 NTE. # 406,MODELO,20140,S,S,N,N,
E04941,AVENIDA AGUASCALIENTES NORTE N 724,LAS TROJES,20135,S,S,N,N,
E04971,AVENIDA AGUASCALIENTES N 782,LAS TROJES,20135,S,S,S,N,
E05188,"AVENIDA ESTADOS UNIDOS DE AMERICALLE NO. 100, COL. PARQUE INDUSTRIAL, AGUASCALIENTES, AGUASCALIENTES.",,,S,S,S,N,
E06181,AVENIDA SIGLO XXI NO 700,TROJES DE ALONSO,20900,S,S,S,N,
E06764,AVENIDA NI—OS HEROES NO. 101 PTE,TROJES DE ALONSO,20311,S,S,S,N,
E07245,BOULEVARD SIGLO XXI NO. 301,CIUDAD INDUSTRIAL,20290,S,S,S,N,
E07266,BOULERVARD SIGLO XXI  NO. 3242,FRACCIONAMIENTO. VILLAS DEL PILAR,20287,S,S,S,N,
E07361,CC GALERIAS L-6,TROJES DE ALONSO,20110,S,S,N,N,
E07679,ADOLFO RUIZ CORTINEZ NO. 901,FRANCISCO VIILLA,20800,S,S,S,N,
E07687,AVENIDA SIGLO XXI NO. 401,MORELOS I,20270,S,S,N,N,
E07745,"BOULERVARD SIGLO XXI, 5202",HACIENDAS DE AGUASCALIENTES,20133,S,S,N,N,
E07754,BERNABE BALLESTEROS NO. 124,VILLA DE NUESTRA SENORA DE LA ASUNCION,20200,S,S,N,N,
E07878,AVENIDA DE LOS MAESTROS NO 2703,NUEVA ESPAQA,20210,S,S,N,N,
E07976,AVENIDA SIGLO XXI NO 3805,VICENTE GUERRERO,20070,S,S,S,N,
E07998,"CARRETERA PANAMERICANA KM. 112.24 AGUASCALIENTES-MEXICO, AGUASCALIENTES, AGUASCALIENTES.",,,S,S,S,N,
E08457,"CARRETERA RIVIERA SAN MARCOS KM. 5.566 EJIDO CHICALOTE, SAN FCO. DE LOS ROMO, AGUASCALIENTES.",,,S,S,S,N,
E08511,BOULEVARD AGUASCALIENTES 2074,LOMAS DE SANTA ANITA,20160,S,S,N,N,
E08817,"AVENIDA SIGLO XXI  NO 101, ESQ.  AVENIDA HEROE INMORTAL",MORELOS II SECCION,20140,S,S,N,N,
E09265,BOULEVARD A ZACATECAS KM 8,SC,SC,S,S,S,N,
E09301,AVENIDA SAN GABRIEL NO 123,FRACCIONAMIENTO. OJO CALIENTE III,20196,S,S,S,N,
E09559,"BOULERVARD SIGLO XXI, NO. 2829",LOMAS DE OTE. 1A SECCCION,20171,S,S,S,N,
E09652,AVENIDA AGUASCALIENTES NO. 999,BOSQUES DEL PRADO ORIENTE,20159,S,S,N,N,
E09738,AVENIDA J. GUADALUPE GONZALEZ NO 1102,EJIDO POCITOS,20328,S,S,S,N,
E09818,"CARRETERA A MEXICO 107.5 SAN ANTONIO DE PE•UELAS, AGUASCALIENTES, AGUASCALIENTES.",,,S,S,S,N,
E09877,"CARRETERA 42 AGUASCALIENTES-TANQUES DE LOS JIMENEZ KM. 5.170, AGUASCALIENTES, AGUASCALIENTES.",,,S,S,S,N,
E09913,BLVD GUADALUPANO NO. 1310,NAZARIO ORTIZ GARZA,20170,S,S,N,N,
E10003,AVENIDA MAHATMA GANDHI NO 402-A,PRADOS DE VILLASUNCION,20280,S,S,N,N,
E10036,AVENIDA AGUASCALIENTES OTE. NO 2001,SANTA ANITA 4A SECCION,20177,S,S,S,N,
E10097,"CARRETERA LEON-AGUASCALIENTES KM. 117-540 , AGUASCALIENTES, AGUASCALIENTES.",,,S,S,S,N,
E10122,AVENIDA AGUASCALIENTES NO 1651,LOS SAUCES,20010,S,S,S,N,
E10143,JACINTO LOPEZ BRAVO NO. 101,VILLA DE NUESTRA SRA. DE LA ASUNCION,20120,S,S,S,N,
E10370,BOULERVARD SIGLO XXI ESQ. PROLONGACION CONSTITUCION,LIC. MANUEL GOMEZ MORIN,20200,S,S,N,N,
E10416,BLV. TECNOLOGICO NO. 1220,EJIDO SALTO DE OJOCALIENTE FRACCIONAMIENTO.,20196,S,S,S,N,
E10645,BLV.  LIC. MIGUEL DE LA MADRID HURTADO NO. 2592,MISION DEL CAMPANARIO,20118,S,S,S,N,
E10712,"CARRETERA RIVIERA SAN MARCOS KM. 16+936.64, AGUASCALIENTES, AGUASCALIENTES.",,,S,S,S,N,
E10739,"CARRETERA PANAMERICANA SUR  KM. 115+333, AGUASCALIENTES, AGUASCALIENTES.",,,S,S,S,N,
E10875,BOULERVARD SIGLO XXI NO. 120,MUNICIPIO LIBRE,20199,S,S,S,N,
E10946,BOULERVARD JUAN PABLO II NO 1100,LA SECADORA,20207,S,S,N,N,
E11007,AVENIDA INDEPENDENCIA 1839-D,TROJES DE ALONSO,20116,S,S,N,N,
E11043,AVENIDA SIGLO XXI 1713,EX-HACIENDA LA CANTERA,20200,S,S,S,N,
E11162,AVENIDA LICENCIADO ADOLFO LOPEZ MATEOS NO. 428,EL ENCINO,20240,S,S,S,N,
E11233,AVENIDA AGUASCALIENTES NO 621,ESPA$A,20210,S,S,S,N,
E11324,BOULEVARD A ZACATECAS NO. 605,FRACCIONAMIENTO. LAS HADAS,20140,S,S,S,N,
E11357,CARRETERA PANAMERICANA SUR KM 121 MARGEN DERECHO,,,S,S,S,N,
E11508,AVENIDA AGUASCALIENTES NO 1399,MODERNO,20060,S,S,N,N,
E11526,AVENIDA SIGLO XXI,LOMAS DEL CHAPULIN,20263,S,S,S,N,
E11582,AVENIDA HEROE INMORTAL NO. 1501,FRACCIONAMIENTO. MISION DE SANTA LUCIA,20289,S,S,S,N,
E11718,AVENIDA ABERLARDO L. RODRIGUEZ NO 1702,FRACCIONAMIENTOIONAMIENTO LA RIOJA,20180,S,S,S,N,
E11772,AVENIDA SAN GABRIEL NO.707,OJOCALIENTE 3A SECCION,20196,S,S,S,N,
E11800,AVENIDA AGUASCALIENTES NO. 802,FRACCIONAMIENTO. BOSQUES DEL PRADO NORTE,20127,S,S,N,N,
E11854,AVENIDA AGUASCALIENTES SUR NO 718,MORELOS FRACCIONAMIENTO 1A SECC.,20298,S,S,N,N,
E11979,AVENIDA TECNOLOGICO NO. 125,FRACCIONAMIENTO. EJIDO SALTO DE OJOCALIENTE,20263,S,S,S,N,
E12241,AVENIDA SIGLO XXI ESQ. AVENIDA CONSTITUCION S/N,POZO BRAVO,20126,S,S,S,N,
E12342,CARRETERA A NORIAS DE OJOCALIENTE NO.102,VISTAS DE ORIENTE,20196,S,S,S,N,
E12442,AVENIDA GABRIELA MISTRAL NO. 100,FRACCIONAMIENTOIONAMIENTO LA ESTRELLA,20150,S,S,N,N,
E12547,AVENIDA MAHATMA GANDHI NO. 719,FRACCIONAMIENTO. TORRES DE SAN FRANCISCO,20280,S,S,S,N,
E12602,BOULERVARD LIC. ADOLFO RUIZ CORTINEZ,FRANCISCO VILLA,20218,N,N,N,N,
E12603,AVENIDA CONVENCION DE 1914 NORTE NO. 1507,MIRAVALLE,20040,N,N,N,N,
J01256,JULIO DIAZ TORRE NUMERO 105,CIUDAD INDUSTRIAL,20290,N,N,S,N,
J01353,JOSE ANTONIO SANTOS NO. 101,PARQUE INDUSTRIAL SIGLO XXI,29319,N,N,S,N,
E03123,"CARRETERA RAFAEL DE OCAMPO, AGS-S.L.P. Y AGS-LORETO KM ",Sin Colonia,20780,S,N,S,N,
E05601,"CARRETERA RIBIER-SAN MARCOS KM. 28+122, VILLA JUAREZ, AGUASCALIENTES.",,,S,S,S,N,
E07106,"CARRETERA PILOTOS KM. 33.5 CRUCE CARRETERA LA SOLEDAD, ASIENTOS, AGUASCALIENTES.",,,S,S,S,N,
E12031,KM RIBIER - SAN MARCOS KM 44.43,,,S,S,S,N,
E12618,KM. 30+980 DE LA CARRETERA RIBIER-SAN M,,,N,N,N,N,
E03666,BOULERVARD RODOLFO LANDEROS CALVILLO,BOULEVARD,20800,S,S,S,N,
E05454,PROL 5 DE MAYO N 1202,FRACCIONAMIENTOIONAMIENTO MARTINEZ,20800,S,S,S,N,
E09849,BOULERVARD RODOLFO LANDEROS GALLEGOS NO 467,EL CHILARILLO,20800,S,S,S,N,
E11101,"BOULERVARD RODOLFO LANDEROS GALLEGOS NO. 780 , CALVILLO, AGUASCALIENTES.",,,S,S,S,N,
E11206,LA PESCALLE PUERTO VALLARTA NO. 195,JALTICHE DE ABAJO,20862,S,S,S,N,
E08038,CARRETERA PANAMERICANA # 1901,,,S,S,S,N,
E12266,AVENIDA SIGLO XX1 NO.114,CENTRO,20460,S,S,S,N,
E05112,BOULERVARD MIGUEL DE LA MADRID NO. 624,AGUA CLARA,20900,S,S,N,N,
E05743,"CARRETERA FEDERAL AGUASCALIENTES-CALVILLO KM. 17.4, LOC. IGNACIO ZARAGOZA , JESUS MARIA, AGUASCALIENTES.",,,S,S,S,N,
E06938,"CARRETERA JESUS MARIA-VALLADOLID KM. 2.6, JESUS MARIA, AGUASCALIENTES.",,,S,S,S,N,
E07364,BOULERVARD MIGUEL DE LA MADRID 898,CORRAL DE BARRANCOS,20130,S,S,N,N,
E07569,CARRETERA AGUASCALIENTES-ZACATECAS KM 13,J. GOMEZ PORTUGAL,20909,S,S,S,N,
E07896,BOULERVARD MIGUEL DE LA MADRID NO 621,CENTRO,20900,S,S,S,N,
E10515,BOULEVARD ALEJANDRO DE LA CRUZ SAUCEDO NO. 1300,EL BARRENO,20904,S,S,S,N,
E10625,AVENIDA SIGLO XXI NO. 1770,S. C.,20900,S,S,S,N,
E10653,AVENIDA SIGLO XXI NO. 2020,LA PROVIDENCIA,20984,S,S,S,N,
E10980,AVENIDA SIGLO XXI NO. 100,SC,20900,S,S,S,N,
E10993,"CIR. AGUASCALIENTES ESQ. MPIO DE RINCON DE ROMOS, AGUASCALIENTES. KM 17.04",,,S,S,S,N,
E11304,EMILIANO ZAPATA NO 846,EL CALVARIO,20922,S,S,S,N,
J01178,KM 545 CARRETERA PANAMERICANA J. GOMEZ PORTUGAL,J. GOMEZ PORTUGAL,20909,N,N,S,N,
E01121,PLUTARCO ELIAS CALLES NO.88,5 DE MAYO,26676,S,N,S,N,
E05117,"CARRETERA AGUASCALIENTES-ZACATECAS KM. 24, PABELLON DE ARTEAGA, AGUASCALIENTES.",,,S,S,S,N,
E05167,"CARRETERA AGUASCALIENTES-ZACATECAS KM. 28.5, PABELLON DE ARTEAGA, AGUASCALIENTES.",,,S,S,S,N,
E06778,"CARRETERA A LAS PALOMAS KM. 2 S/N. PABELLON DE ARTEAGA, AGUASCALIENTES.",Sin Colonia,20660,S,N,N,N,
E10438,"CARRETERA AGUASCALIENTES-ZACATECAS KM. 31+072, PABELLON DE ARTEAGA, AGUASCALIENTES.",,,S,S,S,N,
E11032,"CARRETERA AGUASCALIENTES-ZACATECAS KM- 2+740 PABELLON DE ARTEAGA, AGUASCALIENTES.",,,S,S,S,N,
E01122,MORELOS NORTE 508,RINCON DE ROMOS,20400,S,S,S,N,
E03133,AVENIDA JUAREZ NO. 313 SUR,CENTRO,20300,S,S,S,N,
E07221,AVENIDA UNIVERSIDAD NO 202,Sin Colonia,20400,S,S,S,N,
E09601,BOULEVARD LA GUAYANA - LORETO NO 170,MACARIO J. GOMEZ,20116,S,S,S,N,
E09826,"CARRETERA PANAMERICANA - AGUASCALIENTES ZACATECAS KM. 34.5 COL. EL SALITRILLO (LAS NORIAS), RINCON DE ROMOS, AGS.",,,S,S,S,N,
J01310,CARRETERA A LORETO DESVIACION A CHICALOTE KM 3.5,LORETITO,20358,N,N,S,N,
J01364,CARRETERA ESTATAL 85 KM 4.5,.,20671,N,N,S,N,
E11519,AVENIDA BENITO JUAREZ NO 604-B,SAN JOSE DEL BARRANCO,SC,S,S,S,N,
E03315,EMILIANO ZAPATA NO. 505,CENTRO,20500,S,S,S,N,
E05333,"CARRETERA AGUASCALIENTES-LUIS MOYA NO. 301, TEPEZALA, AGUASCALIENTES.",Sin Colonia,20270,S,S,S,N,
E10079,"CARRETERA LA PROVIDENCIA - LUIS MOYA KM. 20+373.96 COL. SAN ANTONIO, TEPEZALA, AGUASCALIENTES.",,,S,S,S,N,
E10080,"CARRETERA LA PROVIDENCIA - LUIS MOYA KM. 14+33, GAMEZ OROZCO, TEPEZALA, AGUASCALIENTES.",,,S,S,S,N,
E02425,CALLE 10 N 1032,ZONA CENTRO,22800,S,S,N,N,
E02601,CL CORTEZ  N 1811,MAESTROS,22840,S,S,S,N,
E02603,CL CORTEZ N 1339,INDEPENDENCIA,22840,S,S,N,N,
E02604,BOULERVARD LAZARO CARDENAS N 143,ZONA CENTRO,22800,S,S,N,N,
E02605,AVENIDA REFORMA N 298,FRACCIONAMIENTO NUEVA ENSENADA,22830,S,S,N,N,
E02609,CARRETERA TRANSPENINSULAR NO. 6,FRACCIONAMIENTO ACAPULCO,22890,S,S,S,N,
E02610,KM 123 1/2 CARR TRANSPENINSULAR MANEADERO,,,S,S,N,N,
E02612,CARRETERA TRANSPENINSULAS KM. 124,MANEADERO,22790,S,S,S,N,
E02613,AVENIDA TIJUANA NO. 396,EX-EJIDO NACIONALISTA SANCHEZ TABOAD,22790,S,S,S,N,
E02615,AVENIDA RUIZ N 998,ZONA CENTRO,22800,S,S,N,N,
E02619,CALLE K NO. 401,EL SAUZAL DE RODRIGUEZ,22800,S,S,N,N,
E02623,AVENIDA JUAREZ N 907,ZONA CENTRO,22800,S,S,N,N,
E02625,C. 1 DE MAYO NO. 1031,ZONA CENTRO,22800,S,S,N,N,
E02632,CARRRETERA ENSENADA A SAN QUINTIN KM. 51.5,SANTO TOMAS,22795,S,S,N,N,
E02634,CARRETERA TRANSPENINSULAR KM. 297,LAZARO CARDENAS,22940,S,S,N,N,
E02743,AVENIDA LOPEZ MATEOS N 1409,OBRERA,22830,S,S,N,N,
E02879,CARR TTRANSPENINSULAR Y AVENIDA N HEROES SAN VICENTE BC,,,S,S,S,N,
E02880,CARRETERA TRANSPENINSULAR S/N COL.BENITO JUAREZ,,,S,S,S,N,
E02881,C.PRIMERA ESQ. CARRETERA TRNSP. KM.284,,,S,S,S,N,
E03086,CARRETERA TRANSPENINSULAR SAN QUINTIN-PTA.PRIETA KM.55,EL ROSARIO DE ARRIBA,22960,S,S,S,N,
E04372,AVENIDA LOPEZ MATEOS N 2077,FRACCIONAMIENTO GRANADOS,22840,S,S,N,N,
E04375,CARRETERA ENSENADA-TIJUANA NU.3421,Sin Colonia,22860,S,N,S,N,
E04394,LIB SUR N 1113,AMPLIACION MAESTROS,22760,S,S,S,N,
E04553,AVENIDA BENITO JUAREZ N 500,VICENTE GUERRERO,22920,S,S,S,N,
E04800,AVENIDA REFORMA N 1185,CARLOS PACHECO,22830,S,S,S,N,
E05194,CALLE CORAL NO. 36,EX-AVIACION,22840,S,S,S,N,
E05364,"BAHIA SAN LUIS GONZAGA, LOTE ""D""",DELEGACION DEL MARMOL,22800,S,N,N,N,
E05513,CARRETERA TRANSPENINSULAR KM 138+740,Sin Colonia,22910,S,S,S,N,
E05547,AVENIDA PRINCIPAL NO. 194,FRANCISCO ZARCO,22750,S,N,S,N,
E05761,AVENIDA EJERCITO NACIONAL  NUM. 923,VALLE DORADO,22840,S,S,N,N,
E05790,PEDRO LOYOLA NO. 296,ACAPULCO,22890,S,S,N,N,
E05923,CARRETERA TRANSPENINSULAR NUMERO 101,EX-EJIDO CHAPULTEPEC,22840,S,S,S,N,
E05946,CARRETERA TRANSPENINSULAR KM. 593,Sin Colonia,00000,S,N,S,N,
E05982,REFORMA NO. 716,OBRERA,22830,S,S,S,N,
E06036,BOULEVARD LAZARO CARDENAS NO. 1979,PLAYA ENSENADA,22880,S,S,N,N,
E06286,AVENIDA ESMERALDA 992,VALLE DORADO,22840,S,S,N,N,
E06530,FUNDADORES LOTE 3 Y 4 NO. 108,EJIDO EMILIANO ZAPATA,22800,S,S,S,N,
E06567,COLINAS DE RIVERSIDE NO. 224 ESQ. CON PASEO COLINAS DEL SOL,COLINAS DEL MAR,22840,S,S,S,N,
E06671,CARRETERA TRANSPENINSULAR KM 193,EJIDO NUEVO MEXICALI,22930,S,S,N,N,
E06800,LUIS GONZALEZ OCAMPO NO. 16,PIEDRAS NEGRAS,22840,S,S,N,N,
E06814,CALZADA CORTEZ 2194,HIDALGO,22880,S,S,N,N,
E06921,BOULEVARD PLINTA 397,VALLE DORADO,22890,S,S,N,N,
E07339,CALLE CORAL NO. 2495,MARQUEZ DE LEON,22850,S,S,N,N,
E07343,AVENIDA PEDRO LOYOLA NO. 1200,CARLOS PACHECO,22800,S,S,S,N,
E07390,CALLE DELANTE NO. 200 ESQUINA PEDRO LOYOLA,FRACCIONAMIENTOIONAMIENTO COSTA AZUL,0,S,N,S,N,
E07560,CARRETERA TRANSPENINSULAR NO. 8781,EX-EJIDO CHAPULTEPEC II,S/N,S,S,N,N,
E07565,PROLONGACION PENA BLANCALLE NO. 137,EJIDO VALLE DE LA TRINIDAD,22917,S,N,S,N,
E07574,CARRETERA TRANSPENINSULAR KM. 300,EJIDO RAUL SANCHEZ DIAZ,22930,S,S,S,N,
E07575,AVENIDA REFORMA NO. 830,ULBRICH,22830,S,S,N,N,
E07612,AVENIDA AMBAR Y REFORMA NO. 1006,CARLOS PACHECO,22810,S,S,N,N,
E07683,CARRETERA TRANSPENINSULAR KM. 95,VILLA JESUS MARIA,22991,S,S,S,N,
E07735,KM.1 DE LA CARRETERA A PUNTA MORRO S/N,Sin Colonia,00000,N,N,N,N,
E07792,BENITO JUAREZ NO. 1,PUNTA COLNETT,22909,S,S,S,N,
E07925,BOULEVARD HIGUERAS GERANIO NO. 754,EXEJIDO RUIZ CORTINEZ,22810,S,S,N,N,
E08026,EL PARADOR-BAHIA DE LOS ANGELES KM. 63.8,BAHIA DE LOS ANGELES,22980,S,N,N,N,
E08049,CARRETERA FEDERAL ENSENADA-SAN FELIPE NO.39 KM.39,,,S,N,S,N,
E08088,BOULEVARD GENERAL LAZARO CARDENAS NO. 281,FRACCIONAMIENTO. PARQ. INDUSTRIAL CHAPULTEPEC,22785,S,S,N,N,
E08190,CAMINO A LAGUNA DE CHAPALA KM 83000,,,S,N,N,N,
E08558,CARRETERA TRANSPENINSULAR NO. 10887,EXEJIDO CHAPULTEPEC,22870,S,S,N,N,
E08612,CARRETERA TRANSPENINSULAR KM. 179+100 NO. 2700,,,S,S,S,N,
E08628,AVENIDA JUAREZ # 1498,OBRERA,22830,S,S,N,N,
E08880,CARRETERA EST. PUNTA PRIETA-BAHIA DE LOS ANGELES NO.5000,BAHIA DE LOS ANGELES,22980,S,S,S,N,
E08894,CARRETERA TIJUANA-ENSENADA # 9958,,,S,S,S,N,
E09165,CARRETERA TRANSPENINSULAR NO. 2500.,EJIDO EL PAPALOTE,22930,S,S,S,N,
E09278,CARRETERA TRANSPENINSULAR ENSENADA A LA PAZ #3311,,,S,S,S,N,
E09290,CALZADA CHAPULTEPEC NO. 855,EJIDO CHAPULTEPEC,22780,S,S,N,N,
E09659,CARRETERA TRANSPENINSULAR KM. 15,,,S,S,S,N,
E09757,AVENIDA ARGENTA NO. 203,FRACCIONAMIENTOIONAMIENTO LOS OLIVARES,22850,S,S,N,N,
E10271,AVENIDA JUAN ALDAMA NO. 201,EX EJIDO NACIONALISTA,22790,S,S,S,N,
E10359,BOULERVARD CADIZ NO. 1001,VILLAS PUNTA PIEDRA,S/N,S,S,S,N,
E10519,CARRETERA ESTATAL ENSENADA-LA BUFADORA NUM. 503,,,S,S,S,N,
E10576,CARRETERA LA PAZ A ENSENADA KM. 159+665,,,S,S,S,N,
E10666,CARRETERA TRANSPENINSULAR ENSENADA - LAPAZ KM. 19,,,S,S,S,N,
E10709,CARRETERA ENSENADA-OJOS NEGROS. 3701,EL AGUAJITO,22842,S,S,S,N,
E11034,AVENIDA KILIWAS NO. 425,ADOLFO RUIZ CORTINEZ,22810,S,S,N,N,
E11145,AVENIDA WAYCURAS NO.258,LAZARO CARDENAS,22917,S,S,S,N,
E11747,CARRETERA ENSENADA A TECATE KM 94,,,S,S,S,N,
E11966,AVENIDA DR. PEDRO LOYOLA NO. 487,CARLOS PACHECO (AYUNTAMIENTO),22830,S,S,S,N,
E12018,CARRETERA TRANSPENINSULAR ENSENADA-SAN QUINTIN KM.17+200,NACIONALISTA SANCHEZ TABOADA EJIDO,22790,S,S,S,N,
E12075,AVENIDA RAYON 876,SECCION PRIMERA,22880,S,S,S,N,
E12105,AUTOPISTA TIJUANA-ENSENADA 4768,LAS ROSAS DELEGACION EL SAUZAL,22830,S,S,S,N,
E12106,CARRETERA TRANSP. ENSENADA-LA PAZ NO. 6531,"CHAPULTEPEC II, POLIGONO III",22785,S,S,S,N,
E12134,CONSTITUCION NO. 132,ADOLFO RUIZ CORTINEZ (POLIGONO II),22810,S,S,N,N,
E12287,LIBRAMIENTO SUR NO. 1502,JALISCO,22850,S,S,S,N,
E12544,LIBRAMIENTO CIRCUITO ORIENTE NO. 1600,LOMITAS II ETAPA,22810,S,S,S,N,
E01782,AVENIDA MECANICOS N 1699,INDUSTRIAL,21010,S,S,N,N,
E01783,AVENIDA CUAUHTEMOC N 500,AVIACION,21230,S,S,N,N,
E01784,AVENIDA FRANCISCO I MADERO N 1100,NUEVA,21100,S,S,N,N,
E01787,AVENIDA REFORMA NO. 909,SEGUNDA SECCION,21100,S,S,N,N,
E01788,AVENIDA GRAL. IGNACIO ZARAGOZA NO. 1601,NUEVA,21100,S,S,N,N,
E01790,CALLE VILLAHERMOSA S/N ESQ. AVENIDA INDEPENDENCIA,ESPERANZA,21040,S,S,N,N,
E01791,CALZ. INDUSTRIAL PALACO N¯ 2298,GONZALEZ ORTEGA,21600,S,S,S,N,
E01793,JUSTO SIERRA No. 5,CUAUHTEMOC NORTE,21100,S,S,N,N,
E01794,BRASIL No. 399,CUAUHTEMOC NORTE,21200,S,S,N,N,
E01795,AVENIDA MICHOACAN NO. 1200 ESQ. CALLE CUARTA,PUEBLO NUEVO,21120,S,N,N,N,
E01797,CALLE UXMAL NO. 798,LOMA LINDA,21140,S,S,N,N,
E01799,AVENIDA SAN CARLOS N 136,BELLA VISTA,21150,S,N,N,N,
E01800,CALZ. DE LAS AMERICAS NO. 1194 ESQ. JUAN CABALLERO,SAN GABRIEL,21210,S,S,N,N,
E01802,CL JUSTO SIERRA N 962,LIBERTAD,21030,S,S,N,N,
E01803,CARRETERA A SAN FELIPE NO. 199,DIEZ DIVISION DOS,21360,S,S,S,N,
E01804,KM. 7.5 CARRETERA MEXICALI - TIJUANA,PROGRESO,21210,S,S,S,N,
E01809,CL CUAUHTEMOC N 601,CUAUHTEMOC,21202,S,S,N,N,
E01811,CALZADA JUSTO SIERRA NO. 298,NUEVA,21100,S,S,N,N,
E01812,CALLEJON SAN LUIS POTOSI N 1900,PUEBLO NUEVO,21120,S,S,N,N,
E01814,"CARRETERA A SAN LUIS RIO COLORADO KM. 26.5, EJIDO SINALOA",,,S,S,S,N,
E01822,CL HEROICO COLEGIO MILITAR N 998,EX EJIDO ORIZABA,21130,S,S,S,N,
E01824,CALZADA LAZARO CARDENAS NO. 699,FRACCIONAMIENTO. JARDINES DEL LAGO,21330,S,S,S,N,
E01825,AVENIDA SINALOA NO. 1099 ESQ. CALLE UXMAL,ESPERANZA,21140,S,S,N,N,
E01827,CL INDEPENDENCIA N 884,CENTRO CIVICO,21150,S,S,S,N,
E01828,CL ADOLFO LOPEZ MATEOS N 1377,ZACATECAS,21090,S,S,N,N,
