Entidad Federativa,Municipio,No de Permiso,Nombre de la gasolinera,Dirección
Ciudad de Mexico,Alvaro Obregon,PL/905/EXP/ES/2015,ESTACIÓN DE SERVICIO CORCELES S.A. DE C.V.,Calzada de Los Corceles No. 300
Ciudad de Mexico,Alvaro Obregon,PL/8139/EXP/ES/2015,ESTACIÓN DE CARGA PERIFÉRICO SUR LM S.A. DE C.V.,Prolongación 5 de Mayo No. 3169
Ciudad de Mexico,Alvaro Obregon,PL/8137/EXP/ES/2015,PAVIRO S.A. DE C.V.,Romulo O´ Farril 298
Ciudad de Mexico,Alvaro Obregon,PL/8135/EXP/ES/2015,ESTACIÓN DE CARGA PERIFÉRICO SUR LM S.A. DE C.V.,Avenida Central No. 368-F
Ciudad de Mexico,Alvaro Obregon,PL/6705/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Insurgentes Sur No. 2075 Y La Paz
Ciudad de Mexico,Alvaro Obregon,PL/6350/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Camino Real a Toluca No. 521
Ciudad de Mexico,Alvaro Obregon,PL/4126/EXP/ES/2015,MEGA GASOLINERAS S.A DE C.V,Sagredo No. 265
Ciudad de Mexico,Alvaro Obregon,PL/2700/EXP/ES/2015,SERVICIO SAN PEDRO S.A. DE C.V.,Boulevard Adolfo López Mateos No. 282
Ciudad de Mexico,Alvaro Obregon,PL/2483/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Insurgentes Sur No. 1937
Ciudad de Mexico,Alvaro Obregon,PL/24510/EXP/ES/2022,"ENERGETICOS DEL PUEBLO, S.A. DE C.V.",AV.TAMAULIPAS NO. 1336 Y 1340
Ciudad de Mexico,Alvaro Obregon,PL/23267/EXP/ES/2020,"URBANA 270, S.A. DE C.V.",POSTES No. 114
Ciudad de Mexico,Alvaro Obregon,PL/22820/EXP/ES/2019,"Gasolinería Coral, S.A. de C.V.",Avenida Toluca No. 400
Ciudad de Mexico,Alvaro Obregon,PL/2279/EXP/ES/2015,SERVICIO IZQUIERDO S.A. DE C.V.,Boulevard Adolfo López Mateos No. 2491
Ciudad de Mexico,Alvaro Obregon,PL/2278/EXP/ES/2015,SERVICIOS LA CAÑADA S.A. DE C.V.,Periférico Sur No. 3352
Ciudad de Mexico,Alvaro Obregon,PL/22586/EXP/ES/2019,"ESTACIÓN DE SERVICIO ORIZABA, S.A. DE C.V.",PROLONGACIÓN GÓMEZ FARÍAS S/N
Ciudad de Mexico,Alvaro Obregon,PL/22422/EXP/ES/2019,SERVICIO PLATEROS SA DE CV,AV CENTENARIO No 985
Ciudad de Mexico,Alvaro Obregon,PL/20121/EXP/ES/2017,"SOLUCIONES P&L, S.A.P.I. DE C.V.",Boulevard Adolfo López Mateos No. 2173
Ciudad de Mexico,Alvaro Obregon,PL/1802/EXP/ES/2015,ESTACIÓN DE SERVICIO LAS ÁGUILAS S.A. DE C.V.,Calzada de Las Aguilas No. 912
Ciudad de Mexico,Alvaro Obregon,PL/1796/EXP/ES/2015,SERVICIO ALFONSO XIII S.A. DE C.V.,Avenida Santa Lucia No. 810
Ciudad de Mexico,Alvaro Obregon,PL/1316/EXP/ES/2015,SERVICIO J GUTIERREZ S.A. DE C.V.,Avenida Revolución No. 1649
Ciudad de Mexico,Alvaro Obregon,PL/1314/EXP/ES/2015,SERVICIO POINTER S.A. DE C.V.,Avenida 5 de Mayo No. 407
Ciudad de Mexico,Alvaro Obregon,PL/1223/EXP/ES/2015,BURBIL S.A. DE C.V.,Río Magdalena No. 10
Ciudad de Mexico,Alvaro Obregon,PL/1054/EXP/ES/2015,SERVICIO MONTE VERDE S.A. DE C.V.,Cda. de La Canoa No. 18
Ciudad de Mexico,Alvaro Obregon,PL/1052/EXP/ES/2015,SERVICIO ECLIPSE S.A. DE C.V.,Avenida Vasco de Quiroga No. 1845
Ciudad de Mexico,Azcapotzalco,PL/10293/EXP/ES/2015,SERVICIO CLAVERIA S.A. DE C.V.,Avenida Claveria No. 27
Ciudad de Mexico,Azcapotzalco,PL/1211/EXP/ES/2015,SERVICIO ORDAZ Y CARABALLO S. A.,Muitle No. 189
Ciudad de Mexico,Azcapotzalco,PL/1308/EXP/ES/2015,GRAFEL S. A.,Prolongación Sabino No. 494
Ciudad de Mexico,Azcapotzalco,PL/1385/EXP/ES/2015,SUPER SERVICIO NUEVO BC SA DE CV,Eje 5 Norte No. 1020
Ciudad de Mexico,Azcapotzalco,PL/1405/EXP/ES/2015,SERVICIO SEIS GIAR S. A. DE C. V.,Calle Zaragoza No. 8
Ciudad de Mexico,Azcapotzalco,PL/1467/EXP/ES/2015,SERVICIO BEGONIA S.A. DE C.V.,Calle Egipto No. 244
Ciudad de Mexico,Azcapotzalco,PL/21028/EXP/ES/2018,"SERVICIO EL ONCE, S.A. DE C.V.",CALLE PINO No. 623 ESQ. ANTONIO VALERIANO
Ciudad de Mexico,Azcapotzalco,PL/2251/EXP/ES/2015,GRUPO AZCA S.A. DE C.V.,Calle Cuauhtémoc No. 40
Ciudad de Mexico,Azcapotzalco,PL/25745/EXP/ES/2024,"GRUPO GASOLTEC, S.A. DE C.V.",PONIENTE 128 NO. 470
Ciudad de Mexico,Azcapotzalco,PL/4902/EXP/ES/2015,OPERADORA DE GASOLINERIA EL COTERON S.A. DE C.V.,Norte 79a Esquina Camarones No. 284
Ciudad de Mexico,Azcapotzalco,PL/5393/EXP/ES/2015,GASOLINERÍA ALTADENA S.A. DE C.V.,Avenida Deportivo Reynosa Eje 5 Norte No. 1010
Ciudad de Mexico,Azcapotzalco,PL/5601/EXP/ES/2015,SERVICIO GASOLINERO AZCAPOTZALCO S.A. DE C.V.,Avenida Tezozomoc No. 246
Ciudad de Mexico,Azcapotzalco,PL/6956/EXP/ES/2015,GAS 122 S.A. DE C.V.,Poniente 122 No. 672
Ciudad de Mexico,Azcapotzalco,PL/6962/EXP/ES/2015,ESTACIÓN DE SERVICIO VALLEJO S.A. DE C.V.,Avenida Ceylan No. 613
Ciudad de Mexico,Azcapotzalco,PL/8008/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Santo Tomas No. 11
Ciudad de Mexico,Azcapotzalco,PL/8136/EXP/ES/2015,SÚPER SERVICIO GRANJAS S. A.,Avenida de Las Granjas No. 751
Ciudad de Mexico,Azcapotzalco,PL/9257/EXP/ES/2015,SERVICIO NORTE 45 S.A. DE C.V.,Norte 45 No. 970
Ciudad de Mexico,Azcapotzalco,PL/9398/EXP/ES/2015,YUMKA S.A. DE C.V.,Tezozomoc No. 51 Y 53
Ciudad de Mexico,Azcapotzalco,PL/952/EXP/ES/2015,GASOLINERA EL RUEDO S.A. DE C.V.,Calzada Vallejo No. 510
Ciudad de Mexico,Azcapotzalco,PL/988/EXP/ES/2015,SERVICIO JOPEL S.A. DE C.V.,Calle Coachilco No. 61
Ciudad de Mexico,Benito Juarez,PL/10897/EXP/ES/2015,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",Felix Cuevas No. 435
Ciudad de Mexico,Benito Juarez,PL/1156/EXP/ES/2015,SERVICIO GASOLINERO XOLA S.A. DE C.V.,Boulevard Xola Eje 4 Sur No. 1403
Ciudad de Mexico,Benito Juarez,PL/1230/EXP/ES/2015,SERVICIO VÍCTOR HUGO S.A. DE C.V.,Víctor Hugo No. 152
Ciudad de Mexico,Benito Juarez,PL/1466/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Avenida Cuauhtémoc No. 1037
Ciudad de Mexico,Benito Juarez,PL/1613/EXP/ES/2015,SERVICIO AUTOMOTRIZ INSURGENTES S.A. DE C.V.,Avenida Insurgentes Sur No. 1428
Ciudad de Mexico,Benito Juarez,PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577
Ciudad de Mexico,Benito Juarez,PL/2094/EXP/ES/2015,MARÍA ARACELI ALEMAN SOLIS,Obrero Mundial No. 133
Ciudad de Mexico,Benito Juarez,PL/24407/EXP/ES/2022,"CR 88, S.A.P.I. DE C.V.","Calle Dr. Vertiz, número 640"
Ciudad de Mexico,Benito Juarez,PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata No. 462
Ciudad de Mexico,Benito Juarez,PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución No. 847
Ciudad de Mexico,Benito Juarez,PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan No. 842
Ciudad de Mexico,Benito Juarez,PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732
Ciudad de Mexico,Benito Juarez,PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución No. 420
Ciudad de Mexico,Benito Juarez,PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos No. 315
Ciudad de Mexico,Benito Juarez,PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637
Ciudad de Mexico,Benito Juarez,PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18
Ciudad de Mexico,Benito Juarez,PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395
Ciudad de Mexico,Benito Juarez,PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56
Ciudad de Mexico,Benito Juarez,PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37
Ciudad de Mexico,Benito Juarez,PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial
Ciudad de Mexico,Benito Juarez,PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6
Ciudad de Mexico,Benito Juarez,PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán
Ciudad de Mexico,Benito Juarez,PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20
Ciudad de Mexico,Benito Juarez,PL/5883/EXP/ES/2015,FRANCISCO PADILLA ORTIZ,Peten No. 228
