place_id,name,cre_id,longitude,latitude,regular_price,premium_price,diesel_price,state,municipality,address
2807,ESTACIÓN DE SERVICIO NUEVO MILENIO S.A. DE C.V.,PL/1000/EXP/ES/2015,-99.08612,19.44235,23.99,26.49,25.99,Ciudad de Mexico,Venustiano Carranza,Calle Norte 180 No. 574
11704,SERVICIO DELTA S.A. DE C.V.,PL/10000/EXP/ES/2015,-101.6221,21.09075,22.95,,24.99,,,
11705,SERVICIO LAS TORRES NORTE S.A. DE C.V.,PL/10001/EXP/ES/2015,-101.6628,21.14976,22.95,,,,,
11706,OPERADORA HB S.A. DE C.V.,PL/10002/EXP/ES/2015,-96.15018,19.1045,23.98,24.96,25.99,,,
11707,OPERADORA HB S.A. DE C.V.,PL/10003/EXP/ES/2015,-96.1013,19.08608,23.9,25.18,25.98,,,
11708,OPERADORA JOSFA S.A. DE C.V.,PL/10004/EXP/ES/2015,-101.614,21.08429,22.95,,,,,
11396,GASOIL TECNOLOGIAS S. A. P. I. DE C. V.,PL/10005/EXP/ES/2015,-97.30963,19.80131,24.05,,25.85,,,
11397,GASOIL TECNOLOGIAS S. A. P. I. DE C. V.,PL/10006/EXP/ES/2015,-96.18413,19.21491,22.99,23.88,24.99,,,
11398,ICVER S.A. DE C.V.,PL/10007/EXP/ES/2015,-96.99704,18.90649,23.98,24.99,25.69,,,
11399,HIDROSINA PLUS S. A. P. I. DE C. V.,PL/10008/EXP/ES/2015,-92.2475,14.90402,23.19,24.09,,,,
11408,GRUPO OCTANO S.A. DE C.V.,PL/10009/EXP/ES/2015,-103.4212,19.53052,26.19,27.19,27.14,,,
2808,ESTACIÓN DE SERVICIO ANDALUCÍA S.A. DE C.V.,PL/1001/EXP/ES/2015,-99.04313,19.59132,24.79,26.29,25.99,,,
11409,GRUPO OCTANO S.A. DE C.V.,PL/10010/EXP/ES/2015,-103.3895,19.55496,26.04,27.09,27.04,,,
11401,ESTACIONES GARE S.A. DE C.V.,PL/10011/EXP/ES/2015,-98.1106,25.98728,,,,,,
11402,MARTHA PATRICIA VARGAS VEGA,PL/10012/EXP/ES/2015,-101.0561,20.37656,24.99,25.17,26.37,,,
11404,MARÍA GABRIELA VARGAS VEGA,PL/10013/EXP/ES/2015,0,0,,,,,,
11403,HOYO TRES S.A. DE C.V.,PL/10014/EXP/ES/2015,-87.34275,20.35971,25.92,26.92,27.72,,,
11405,SERVICIOS DIVERSOS DEL CENTRO S.A. DE C.V.,PL/10015/EXP/ES/2015,-100.8037,20.54821,23.39,25.17,25.99,,,
11406,GASOLINERA MEOQUI SA DE CV,PL/10016/EXP/ES/2015,0,0,,,,,,
11400,SERVICIO PEDREGAL DEL GOLFO S.A. DE C.V.,PL/10017/EXP/ES/2015,-93.50216,17.62291,24.99,25.89,26.79,,,
11407,SÚPER SERVICIO CHIGNAUTLA S.A. DE C.V.,PL/10018/EXP/ES/2015,-97.38714,19.8121,24.59,25.09,26.19,,,
11410,SERVICIO STA EUGENIA S.A. DE C.V.,PL/10019/EXP/ES/2015,-101.3011,19.68798,23.97,25.07,26.13,,,
2825,SERVICIO CIPRESES S.A. DE C.V.,PL/1002/EXP/ES/2015,-99.06293,19.30509,24.99,26.59,25.99,Ciudad de Mexico,Tlahuac,Avenida Tláhuac No. 5243
11411,SERVICIOS GASOLINEROS DE MÉXICO S.A. DE C.V.,PL/10020/EXP/ES/2015,-99.5336,27.42132,21.19,23.19,26.45,,,
11412,SERVICIOS GASOLINEROS DE MÉXICO S.A. DE C.V.,PL/10021/EXP/ES/2015,-100.2139,25.69357,25.39,27.89,26.99,,,
11413,SERVICIO MONTAÑAS DEL SUR S.A. DE C.V.,PL/10022/EXP/ES/2015,-99.16317,17.59403,25.49,26.43,27.23,,,
11414,SERVICIO MONTAÑAS DEL SUR S.A. DE C.V.,PL/10023/EXP/ES/2015,-99.17475,17.60546,25.49,26.43,,,,
11415,SERVICIO MONTAÑAS DEL SUR S.A. DE C.V.,PL/10024/EXP/ES/2015,-99.63666,16.78118,25.0,25.99,26.8,,,
11417,SINERGIA DE ENERGÉTICOS S.A. DE C.V.,PL/10025/EXP/ES/2015,-98.27732,19.10791,24.99,26.19,27.09,,,
11418,"ESTACION DE SERVICIOS EL CAPITAN, SA DE CV ",PL/10026/EXP/ES/2015,-115.1896,32.35653,24.79,,,,,
11419,"ESTACIONES MEXSON, S.A. DE C.V.",PL/10027/EXP/ES/2015,-115.4627,32.60983,23.49,23.99,,,,
11420,ESTACIÓN DE SERVICIOS LA MIXTEQUILLA S.A. DE C.V.,PL/10028/EXP/ES/2015,-95.98717,18.72145,23.99,24.2,24.99,,,
11421,JORGE GUTIERREZ JIMÉNEZ,PL/10029/EXP/ES/2015,-98.5238,19.9736,24.23,25.01,26.06,,,
2841,GASOLINERA GUADALAJARA S.A. DE C.V.,PL/1003/EXP/ES/2015,-102.3397,20.68204,24.8,25.4,25.9,,,
11416,SERVICIOS GASOLINEROS SAN CARLOS S.A. DE C.V.,PL/10030/EXP/ES/2015,-99.1945,18.95421,24.26,25.49,25.89,,,
11422,AUTO GAS DE MONCLOVA S.A. DE C.V.,PL/10031/EXP/ES/2015,-101.421,26.90775,22.49,26.2,,,,
11424,DANAE ALCESTES LAVINIA CORDOVA MORAN,PL/10032/EXP/ES/2015,-98.55925,17.80547,25.4,26.4,27.65,,,
11423,GRUPO SAYATH S.A. DE C.V.,PL/10033/EXP/ES/2015,-97.79624,25.66648,,,,,,
